Title,Description,URL,Image_URL
Student Journey,"Avishi Dalmia shares her personal journey of moving to France and getting to HEC Paris - from VFS, CAF to personal anecdotes. Learn about her experience here.",https://www.instagram.com/avouspace/,https://i.pinimg.com/474x/6c/ef/dd/6cefdd24057ea9dc34f77f2f59617d72.jpg
Connect with Students,"Chat with current HEC Paris students through the UniBuddy platform to ask questions and gain insights about programs, campus life and career opportunities.",https://www.hec.edu/en/chat-our-students,"https://keystoneacademic-res.cloudinary.com/image/upload/c_limit,w_1920/dpr_auto/f_auto/q_auto/v1/element/23/239071_239047_70c8d408-8fce-48c2-8053-4a657b93984b-other_images-10.jpg"
Applications Help & More,"Falguni Mahajan, M1 MiM at HEC Paris works as an educational consultant. Click here to see her recent interview at GMAT Club. Contact details can also be found there.",https://www.youtube.com/watch?v=4NL4IGSGwkU,https://i.ytimg.com/vi/4NL4IGSGwkU/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD1aAFWJf-tky_X5OZyZ8VzDoNACQ
Hindi Music Playlist,"A Hindi Bollywood music - with slow songs, party songs, music for a long drive and songs to cry to (you can write to me if you want a different language or genre)",https://open.spotify.com/playlist/0zZWZJjCJgmhergU1hoXhI?si=54b885ed4132465b,https://i.pinimg.com/736x/c1/eb/eb/c1ebeb4b6316620631aa6f9d5e263940.jpg
